idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag
-9223372036723832280,-9223372036848628924,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,203.0
-9223372036723832311,-9223372036848642146,21,BZ,C4,11,19,1,2018,POSITIVA,2018-01-19,144.0
-9223372036723832331,-9223372036848632467,21,BZ,C4,11,16,1,2018,POSITIVA,2018-01-16,74.0
-9223372036723832340,-9223372036848642134,21,BZ,C4,11,15,1,2018,POSITIVA,2018-01-15,149.0
-9223372036723832349,-9223372036848652528,21,BZ,C4,11,15,1,2018,RIVEDIBILE,2018-01-15,139.0
-9223372036723832362,-9223372036848635248,21,BZ,C4,11,17,1,2018,POSITIVA,2018-01-17,113.0
-9223372036723832372,-9223372036848607257,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,251.0
-9223372036723832377,-9223372036848622160,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,260.0
-9223372036723832394,-9223372036848662004,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,223.0
-9223372036723832485,-9223372036848640646,21,BZ,C4,11,25,1,2018,POSITIVA,2018-01-25,177.0
-9223372036723832486,-9223372036848641647,21,BZ,C4,11,25,1,2018,POSITIVA,2018-01-25,174.0
-9223372036723832494,-9223372036848647890,21,BZ,C4,11,25,1,2018,POSITIVA,2018-01-25,165.0
-9223372036723832496,-9223372036848655986,21,BZ,C4,11,25,1,2018,POSITIVA,2018-01-25,161.0
-9223372036723832631,-9223372036848653973,21,BZ,C4,11,19,1,2018,NEGATIVA,2018-01-19,86.0
-9223372036723832634,-9223372036848661913,21,BZ,C4,11,19,1,2018,POSITIVA,2018-01-19,74.0
-9223372036723832654,-9223372036848623268,21,BZ,C4,11,27,1,2018,POSITIVA,2018-01-27,190.0
-9223372036723832673,-9223372036848644158,21,BZ,C4,11,27,1,2018,RIVEDIBILE,2018-01-27,178.0
-9223372036723832697,-9223372036848659964,21,BZ,C4,11,29,1,2018,POSITIVA,2018-01-29,145.0
-9223372036723832699,-9223372036849102013,21,BZ,C4,11,29,1,2018,RIVEDIBILE,2018-01-29,175.0
-9223372036723832709,-9223372036848620255,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,278.0
-9223372036723832714,-9223372036848647167,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,262.0
-9223372036723832717,-9223372036848655407,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,255.0
-9223372036723832720,-9223372036848620254,21,BZ,C4,11,26,1,2018,POSITIVA,2018-01-26,124.0
-9223372036723832723,-9223372036848642138,21,BZ,C4,11,26,1,2018,POSITIVA,2018-01-26,118.0
-9223372036723832724,-9223372036848647897,21,BZ,C4,11,26,1,2018,POSITIVA,2018-01-26,113.0
-9223372036723832727,-9223372036848623309,21,BZ,C4,11,26,1,2018,POSITIVA,2018-01-26,153.0
-9223372036723833013,-9223372036848627061,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,67.0
-9223372036723833016,-9223372036848649366,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,61.0
-9223372036723833018,-9223372036849115800,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,50.0
-9223372036723833063,-9223372036848661224,21,BZ,C4,11,23,1,2018,RIVEDIBILE,2018-01-23,326002.0
-9223372036723833065,-9223372036848661935,21,BZ,C4,11,23,1,2018,NEGATIVA,2018-01-23,127.0
-9223372036723833100,-9223372036848662531,21,BZ,C4,11,16,1,2018,POSITIVA,2018-01-16,2.0
-9223372036723833112,-9223372036848657786,21,BZ,C4,11,17,1,2018,POSITIVA,2018-01-17,40.0
-9223372036723833114,-9223372036848660247,21,BZ,C4,11,17,1,2018,POSITIVA,2018-01-17,45.0
-9223372036723833259,-9223372036848627135,21,BZ,C4,11,19,1,2018,POSITIVA,2018-01-19,70.0
-9223372036723833268,-9223372036848640250,21,BZ,C4,11,19,1,2018,RIVEDIBILE,2018-01-19,66.0
-9223372036723833269,-9223372036848654134,21,BZ,C4,11,19,1,2018,POSITIVA,2018-01-19,58.0
-9223372036723833277,-9223372036848662059,21,BZ,C4,11,11,1,2018,POSITIVA,2018-01-11,33.0
-9223372036723833292,-9223372036848627119,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,50.0
-9223372036723833297,-9223372036848644962,21,BZ,C4,11,10,1,2018,POSITIVA,2018-01-10,33.0
-9223372036723833300,-9223372036848648324,21,BZ,C4,11,10,1,2018,POSITIVA,2018-01-10,32.0
-9223372036723833324,-9223372036842213441,21,BZ,C4,11,13,1,2018,NEGATIVA,2018-01-13,15.0
-9223372036723833328,-9223372036848627124,21,BZ,C4,11,13,1,2018,POSITIVA,2018-01-13,57.0
-9223372036723833332,-9223372036848627154,21,BZ,C4,11,13,1,2018,POSITIVA,2018-01-13,58.0
-9223372036723833334,-9223372036848633109,21,BZ,C4,11,13,1,2018,NEGATIVA,2018-01-13,54.0
-9223372036723833337,-9223372036848633110,21,BZ,C4,11,13,1,2018,POSITIVA,2018-01-13,56.0
-9223372036723833374,-9223372036848659016,21,BZ,C4,11,13,1,2018,POSITIVA,2018-01-13,40.0
-9223372036723833377,-9223372036848660308,21,BZ,C4,11,13,1,2018,NEGATIVA,2018-01-13,34.0
-9223372036723833381,-9223372036849131692,21,BZ,C4,11,13,1,2018,NEGATIVA,2018-01-13,55.0
-9223372036723833425,-9223372036848650025,21,BZ,C4,11,11,1,2018,POSITIVA,2018-01-11,151.0
-9223372036723833467,-9223372036848655992,21,BZ,C4,11,2,1,2018,POSITIVA,2018-01-02,52.0
-9223372036723833487,-9223372036848621548,21,BZ,C4,11,2,1,2018,POSITIVA,2018-01-02,58.0
-9223372036723833488,-9223372036848626043,21,BZ,C4,11,2,1,2018,POSITIVA,2018-01-02,57.0
