"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372032734262272,-9223372036833623040,21,"BZ","C4",11,15,1,2019,"2019-01-15",-9223372036833624064
-9223372033004761088,-9223372036833914880,22,"TN","C4",11,11,1,2019,"2019-01-11",-9223372036833915904
-9223372034250350592,-9223372036833927168,21,"BZ","C4",11,13,1,2019,"2019-01-13",-9223372036833928192
-9223372035891363840,-9223372036835798016,21,"BZ","C4",11,28,1,2019,"2019-01-28",-9223372036835798016
-9223372036103467008,-9223372036845365248,21,"BZ","C4",11,25,1,2019,"2019-01-25",-9223372036845364224
-9223372036123324416,-9223372036846239744,21,"BZ","C4",11,31,1,2019,"",-9223372036846239744
-9223372036132847616,-9223372036846338048,17,"BS","C4",11,12,1,2019,"2019-01-12",-9223372036846338048
-9223372036132850688,-9223372036846306304,67,"TE","C4",11,11,1,2019,"2019-01-11",-9223372036846306304
-9223372036132862976,-9223372036846315520,36,"MO","C4",11,7,1,2019,"2019-01-07",-9223372036846315520
-9223372036132876288,-9223372036846351360,1,"TO","C4",11,27,1,2019,"2019-01-27",-9223372036846352384
-9223372036132902912,-9223372036846352384,1,"TO","C4",11,13,1,2019,"2019-01-13",-9223372036846352384
-9223372036155598848,-9223372036846663680,17,"BS","C4",11,3,1,2019,"2019-01-03",-9223372036846663680
-9223372030547131392,-9223372036833856512,21,"BZ","C4",11,28,2,2019,"2019-02-28",-9223372036833855488
-9223372031916651520,-9223372036833873920,21,"BZ","C4",11,6,2,2019,"2019-02-06",-9223372036833873920
-9223372032294612992,-9223372036833862656,21,"BZ","C4",11,23,2,2019,"2019-02-23",-9223372036833863680
-9223372032653175808,-9223372036833884160,21,"BZ","C4",11,7,2,2019,"2019-02-07",-9223372036833884160
-9223372033140218880,-9223372036838772736,97,"LC","C4",11,7,2,2019,"2019-02-07",-9223372036838771712
-9223372034277584896,-9223372036833866752,37,"BO","C4",11,24,2,2019,"2019-02-24",-9223372036833867776
-9223372035216120832,-9223372036833857536,21,"BZ","C4",11,6,2,2019,"2019-02-06",-9223372036833857536
-9223372035452797952,-9223372036833871872,21,"BZ","C4",11,10,2,2019,"2019-02-10",-9223372036833871872
-9223372036107721728,-9223372036845626368,22,"TN","C4",11,21,2,2019,"2019-02-21",-9223372036845626368
-9223372036110879744,-9223372036845802496,21,"BZ","C4",11,7,2,2019,"2019-02-07",-9223372036845802496
-9223372036115058688,-9223372036846028800,21,"BZ","C4",11,20,2,2019,"2019-02-20",-9223372036846027776
-9223372036118910976,-9223372036846118912,21,"BZ","C4",11,28,2,2019,"2019-02-28",-9223372036846119936
-9223372036119314432,-9223372036846132224,21,"BZ","C4",11,26,2,2019,"2019-02-26",-9223372036846132224
