,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
153,-9223372036216484154,-9223372036848634404,21,BZ,C4,11,24,11,2017,2017-11-24,NEGATIVA,2017-11-24,-9223372036848634404_2017-11-24
154,-9223372036216860829,-9223372036850039754,16,BG,C4,11,27,11,2017,2017-11-27,POSITIVA,2017-11-27,-9223372036850039754_2017-11-27
155,-9223372036216884726,-9223372036849604464,16,BG,C4,11,27,11,2017,2017-11-27,POSITIVA,2017-11-27,-9223372036849604464_2017-11-27
156,-9223372036216955525,-9223372036848654993,2,VC,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036848654993_2017-11-16
157,-9223372036216956393,-9223372036850108146,2,VC,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036850108146_2017-11-16
158,-9223372036217027514,-9223372036850184623,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA,2017-11-26,-9223372036850184623_2017-11-26
159,-9223372036217029282,-9223372036848570515,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848570515_2017-11-28
160,-9223372036217029284,-9223372036848574308,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848574308_2017-11-28
161,-9223372036217029289,-9223372036850176197,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850176197_2017-11-28
162,-9223372036217029290,-9223372036850183266,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850183266_2017-11-28
163,-9223372036217029295,-9223372036850186277,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850186277_2017-11-28
164,-9223372036217049027,-9223372036849525748,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA,2017-11-26,-9223372036849525748_2017-11-26
165,-9223372036217049720,-9223372036848568764,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA,2017-11-26,-9223372036848568764_2017-11-26
166,-9223372036217049798,-9223372036850176144,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850176144_2017-11-28
167,-9223372036217049803,-9223372036850185867,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850185867_2017-11-28
168,-9223372036217049804,-9223372036850185944,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850185944_2017-11-28
169,-9223372036217049806,-9223372036850185986,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850185986_2017-11-28
170,-9223372036217050182,-9223372036850186373,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850186373_2017-11-28
171,-9223372036217050183,-9223372036850186579,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850186579_2017-11-28
172,-9223372036217050830,-9223372036848662213,24,VI,C4,11,28,11,2017,2017-11-28,NEGATIVA,2017-11-28,-9223372036848662213_2017-11-28
173,-9223372036217050833,-9223372036850183361,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850183361_2017-11-28
174,-9223372036217050834,-9223372036850185840,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850185840_2017-11-28
175,-9223372036217050836,-9223372036850185920,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036850185920_2017-11-28
