idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036220116161,-9223372036848639319,21,BZ,C4,11,19,11,2017,2017-11-19
-9223372036220116185,-9223372036848647902,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220116329,-9223372036848658017,21,BZ,C4,11,28,11,2017,2017-11-28
-9223372036220116447,-9223372036848647765,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220116455,-9223372036848631793,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220116545,-9223372036848635953,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220116605,-9223372036848630554,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220116608,-9223372036848654012,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220116744,-9223372036848626216,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220116745,-9223372036848636901,21,BZ,C4,11,8,11,2017,2017-11-08
-9223372036220116776,-9223372036848642439,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220116906,-9223372036848637252,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220116908,-9223372036848650927,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220117138,-9223372036848646966,21,BZ,C4,11,3,11,2017,2017-11-03
-9223372036220117147,-9223372036847856090,21,BZ,C4,11,29,11,2017,2017-11-29
-9223372036220117201,-9223372036848648129,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220117205,-9223372036848636182,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220117242,-9223372036848658957,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220117272,-9223372036848646890,21,BZ,C4,11,11,11,2017,2017-11-11
-9223372036220117293,-9223372036848645746,21,BZ,C4,11,16,11,2017,2017-11-16
-9223372036220117345,-9223372036848655694,21,BZ,C4,11,4,11,2017,2017-11-04
